the, -78664.9902153831
i, 3543.984907440486
on, 3356.866300581906
are, 2636.2839099977973
this, 1571.1757083689636
more, 1522.5633179337299
will, 1431.9640595975422
in, 1389.6736592203567
at, 1170.4045768290582
when, 1138.6923427554154
was, 1138.6923427554154
about, 1138.6923427554154
would, 1108.1448375809005
them, 1078.6946767950612
it, 1022.8410265157062
so, 996.3256361890113
one, 996.3256361890113
what, 875.9486527575802
make, 854.0255676143662
should, 854.0255676143662
way, 832.7357669977783
as, 812.0474840752736
than, 772.3574394114745
even, 772.3574394114745
who, 753.3007455860927
into, 734.7354433559351
example, 734.7354433559351
has, 716.637579015567
were, 716.637579015567
could, 681.754263893814
believe, 664.9265271298339
been, 648.4814750138374
know, 648.4814750138374
work, 648.4814750138374
life, 648.4814750138374
own, 632.4002296850554
help, 632.4002296850554
am, 616.6646727104481
for, 601.2573689939917
always, 586.1614929701562
things, 586.1614929701562
while, 586.1614929701562
day, 586.1614929701562
fact, 571.3607562370465
person, 571.3607562370465
think, 571.3607562370465
good, 571.3607562370465
find, 556.8393357335063
become, 542.581801484292
these, 542.581801484292
see, 542.581801484292
get, 542.581801484292
others, 542.581801484292
go, 528.573042821377
best, 528.573042821377
to, 514.7981918281334
use, 514.7981918281334
if, 501.2425425333492
there, 501.2425425333492
”, 501.2425425333492
very, 501.2425425333492
feel, 501.2425425333492
a, 487.89146408544013
down, 487.89146408544013
but, 474.7303057379851
lot, 474.7303057379851
something, 474.7303057379851
really, 474.7303057379851
place, 474.7303057379851
might, 474.7303057379851
made, 474.7303057379851
with, 461.7442909392587
reason, 461.7442909392587
they, 461.7442909392587
myself, 461.7442909392587
high, 461.7442909392587
long, 461.7442909392587
we, 448.91839708834567
around, 448.91839708834567
right, 448.91839708834567
whole, 448.91839708834567
came, 448.91839708834567
my, 436.23721652253926
future, 436.23721652253926
going, 436.23721652253926
then, 436.23721652253926
need, 436.23721652253926
over, 436.23721652253926
does, 436.23721652253926
themselves, 436.23721652253926
less, 423.68479292301964
road, 423.68479292301964
him, 423.68479292301964
comes, 423.68479292301964
took, 423.68479292301964
after, 411.24442540060187
sense, 411.24442540060187
opinion, 411.24442540060187
living, 411.24442540060187
definitely, 411.24442540060187
he, 411.24442540060187
try, 411.24442540060187
live, 411.24442540060187
part, 411.24442540060187
thing, 411.24442540060187
book, 411.24442540060187
means, 398.89842979551906
done, 398.89842979551906
want, 398.89842979551906
again, 398.89842979551906
together, 398.89842979551906
put, 398.89842979551906
music, 398.89842979551906
enjoy, 398.89842979551906
did, 398.89842979551906
environment, 386.6278427988836
dishes, 386.6278427988836
between, 386.6278427988836
lives, 386.6278427988836
friends, 386.6278427988836
able, 386.6278427988836
hand, 386.6278427988836
learn, 386.6278427988836
mind, 386.6278427988836
thought, 374.41204875134486
and, 374.41204875134486
said, 374.41204875134486
addition, 374.41204875134486
same, 374.41204875134486
used, 374.41204875134486
society, 374.41204875134486
though, 374.41204875134486
attention, 374.41204875134486
say, 374.41204875134486
must, 374.41204875134486
taiwan, 374.41204875134486
probably, 362.2283003789293
that, 362.2283003789293
rather, 362.2283003789293
responsibility, 362.2283003789293
mother, 362.2283003789293
problem, 362.2283003789293
enough, 362.2283003789293
already, 362.2283003789293
found, 362.2283003789293
members, 362.2283003789293
learned, 362.2283003789293
beauty, 362.2283003789293
tree, 362.2283003789293
proud, 362.2283003789293
almost, 362.2283003789293
number, 350.05109159281886
spend, 350.05109159281886
parents, 350.05109159281886
usually, 350.05109159281886
became, 350.05109159281886
back, 350.05109159281886
change, 350.05109159281886
heart, 350.05109159281886
care, 350.05109159281886
hard, 350.05109159281886
under, 350.05109159281886
instead, 350.05109159281886
problems, 350.05109159281886
agree, 350.05109159281886
successful, 350.05109159281886
choose, 350.05109159281886
country, 350.05109159281886
order, 350.05109159281886
point, 350.05109159281886
kept, 350.05109159281886
several, 350.05109159281886
went, 350.05109159281886
man, 337.85131990473195
however, 337.85131990473195
be, 337.85131990473195
support, 337.85131990473195
efficient, 337.85131990473195
money, 337.85131990473195
happened, 337.85131990473195
by, 337.85131990473195
you, 337.85131990473195
floor, 337.85131990473195
love, 337.85131990473195
makes, 337.85131990473195
member, 337.85131990473195
many, 337.85131990473195
matter, 337.85131990473195
big, 337.85131990473195
decided, 337.85131990473195
places, 337.85131990473195
respect, 337.85131990473195
face, 337.85131990473195
didn’t, 337.85131990473195
read, 337.85131990473195
got, 337.85131990473195
off, 337.85131990473195
full, 337.85131990473195
ability, 337.85131990473195
front, 337.85131990473195
end, 337.85131990473195
keep, 337.85131990473195
behind, 337.85131990473195
since, 325.5951428489248
ever, 325.5951428489248
show, 325.5951428489248
using, 325.5951428489248
nature, 325.5951428489248
taking, 325.5951428489248
happy, 325.5951428489248
stay, 325.5951428489248
trip, 325.5951428489248
she, 325.5951428489248
three, 325.5951428489248
first, 325.5951428489248
all, 325.5951428489248
some, 325.5951428489248
maintain, 325.5951428489248
brother, 325.5951428489248
instance, 325.5951428489248
tell, 325.5951428489248
here, 325.5951428489248
told, 325.5951428489248
young, 325.5951428489248
information, 325.5951428489248
head, 325.5951428489248
lack, 325.5951428489248
situation, 325.5951428489248
activities, 325.5951428489248
times, 325.5951428489248
started, 325.5951428489248
notice, 325.5951428489248
wonderful, 325.5951428489248
taiwanese, 325.5951428489248
ago, 325.5951428489248
shows, 313.24237760080905
not, 313.24237760080905
coming, 313.24237760080905
people, 313.24237760080905
public, 313.24237760080905
group, 313.24237760080905
development, 313.24237760080905
system, 313.24237760080905
also, 313.24237760080905
start, 313.24237760080905
